duration,num_trips,utilization,propagated_delay,propagated_delay_err,trip_distance,deadhead_distance
3.3999996185302734,4,0.7107842064783665,0.09899438012453311,0.07906409059171765,63.71099999999999,0.13272397788610155
3.25,3,0.7897435701810397,0.056961245584624176,0.06558612086149945,62.36099999999999,0.0014259021565036771
2.25,3,0.7037039862738715,0.0,0.0,39.352999999999994,0.0024552431797201283
2.183333396911621,4,0.6641220307059825,0.0007986702427919978,0.003879429068831308,50.253,0.0011776009036354178
0.8833332061767578,1,1.0,0.0,0.0,21.121,0.0
1.933333396911621,2,0.9051723840262188,0.01570999115673786,0.03181542629992999,42.117000000000004,0.0007365269044748857
2.866666793823242,3,0.8372091321187072,0.05274113823016212,0.08497067903770114,60.766000000000005,0.003636752779627083
3.049999237060547,3,0.7103821702255926,0.0,0.0,58.452,0.0058004080868947015
3.0500001907348633,3,0.6939893820097012,0.05708798190852758,0.05146712082459916,60.989000000000004,0.0014259021565036771
3.5500001907348633,4,0.6901410229029576,0.2233772434096651,0.07250148243845164,68.88499999999999,0.002960796684443873
